年份,日期,冠军,冠军教练,亚军,亚军教练,比分,MVP
2003,6.5-6.16,圣安东尼奥马刺,波波维奇,新泽西网队,斯科特,4-2,邓肯-马刺
2004,6.7-6.16,底特律活塞,拉里-布朗,洛杉矶湖人,菲尔-杰克逊,4-1,比卢普斯-活塞
2005,6.10-6.24,圣安东尼奥马刺,波波维奇,底特律活塞,拉里-布朗,4-3,邓肯-马刺
2006,6.9-6.21,迈阿密热火,帕特-莱利,达拉斯小牛,埃弗里-约翰逊,4-2,韦德-热火
2007,6.8-6.15,圣安东尼奥马刺,波波维奇,克利夫兰骑士,布朗,4-0,帕克-马刺
2008,6.6-6.18,波士顿凯尔特人,道格-里弗斯,洛杉矶湖人,菲尔-杰克逊,4-2,皮尔斯-凯尔特人
2009,6.5-6.15,洛杉矶湖人,菲尔-杰克逊,奥兰多魔术,大范甘迪,4-1,科比-湖人
2010,6.4-6.18,洛杉矶湖人,菲尔-杰克逊,波士顿凯尔特人,道格-里弗斯,4-3,科比-湖人
2011,6.1-6.13,达拉斯小牛,里克-卡莱尔,迈阿密热火,斯波尔斯特拉,4-2,诺维茨基-小牛
2012,6.13-6.22,迈阿密热火,斯波斯特拉,俄克拉荷马称雷霆,斯科特-布鲁克斯,4-1,詹姆斯-热火
2013,6.7-6.21,迈阿密热火,斯波斯特拉,圣安东尼奥马刺,格雷格-波波维奇,4-3,詹姆斯-热火
2014,6.6-6.16,圣安东尼奥马刺,格雷格-波波维奇,迈阿密热火,斯波斯特拉,4-1,莱昂纳德-马刺
2015,6.7-6.21,金州勇士,史蒂夫-科尔,克里夫兰骑士,大卫-布拉特,4-2,伊戈达拉-勇士
